"NUM_FATURA","NUM_ITEM_FATURA","COD_SERVICO_ERP","DESCR_SERVICO","QTD_ITEM","VLR_PRECO","VLR_TOTAL","PORTO"
"11454",14977,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",423,2.31,977.13,"SALVADOR"
"11454",14978,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",423,1.63,689.49,"SALVADOR"
"12933",18988,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",12000,0.92,11040,"SALVADOR"
"12937",18992,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"12428",17579,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",4650,0.92,4278,"SALVADOR"
"12429",17580,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",12400,0.92,11408,"SALVADOR"
"12662",18292,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"12663",18293,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13050,0.92,12006,"SALVADOR"
"12700",18393,"S.III.1.1","INFRAESTRUTURA TERRESTRE",6212.32,6.7,41622.54,"SALVADOR"
"12901",18917,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",55,2.31,127.05,"SALVADOR"
"12901",18918,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",55,1.63,89.65,"SALVADOR"
"11956",16050,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11960",16054,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13950,0.92,12834,"SALVADOR"
"12020",16245,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",54,2.31,124.74,"SALVADOR"
"12020",16246,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",54,1.63,88.02,"SALVADOR"
"12060",16352,"S.III.1.1","INFRAESTRUTURA TERRESTRE",12093.58,6.7,81026.96,"SALVADOR"
"12152",16629,"S.III.1.1","INFRAESTRUTURA TERRESTRE",6012,6.7,40280.4,"SALVADOR"
"12152",16630,"S.III.1.1","INFRAESTRUTURA TERRESTRE",32.06,6.7,214.83,"SALVADOR"
"12424",17575,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11692",15407,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13950,0.92,12834,"SALVADOR"
"11761",15537,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11813",15661,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13950,0.92,12834,"SALVADOR"
"11842",15704,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",126,0.92,115.92,"SALVADOR"
"11852",15736,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11918",15934,"S.III.1.1","INFRAESTRUTURA TERRESTRE",16947.49,6.7,113548.2,"SALVADOR"
"11622",15296,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11628",15302,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13950,0.92,12834,"SALVADOR"
"11644",15325,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11651",15335,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13500,0.92,12420,"SALVADOR"
"11670",15367,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",678.14,2.31,1566.5,"SALVADOR"
"11670",15368,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",678.14,1.63,1105.37,"SALVADOR"
"11686",15397,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11468",15012,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11475",15024,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13500,0.92,12420,"SALVADOR"
"11520",15098,"S.IX.1","UTILIZAÇÃO DE ÁREA INSTALAÇÃO DE CNTR 20TEU'S P/ES",1,529.93,529.93,"SALVADOR"
"11526",15104,"S.VII.15","UTILIZAÇÃO DE ÁREA DESCOBERTA,NÃO PAVIMENTADA",13500,0.92,12420,"SALVADOR"
"11600",15263,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",529.8,2.31,1223.84,"SALVADOR"
