",""PORTO_ESTRANGEIRO"",""END_COORDENADA_PORTO"",""LATITUDE"",""LONGITUDE"",""SENTIDO"",""NAVEGACAO"",""PAIS_PORTO_ESTRANG"",""NAVIO"",""EMBARCADOR"",""CNPJ_EMBARCADOR"",""PROGR"",""NUM_ATRAC"",""BERCO"",""ATRACACAO"",""MES_ATRAC"",""ANO_ATRAC"",""DESATRACACAO"",""MES_DESAT"",""ANO_DESAT"",""OPERADOR"",""SECAO"",""NCM"",""DESCRICAO_NCM"",""DESCRICAO_MANIFESTO"",""CONHECIMENTO"",""EXPORTADOR_IMPORTADOR"",""CNPJ_EXPORTADOR_IMPORTADOR"",""ESTADO"",""MUNICIPIO"",""TIPO_CARGA"",""PCK"",""CNT"",""NUM_EQUIP"",""TEU"",""WTKG"",""VALOR_FOB"",""GATE_IN"",""MES_GATE_IN"",""ANO_GATE_IN"",""GATE_OUT"",""MES_GATE_OUT"",""ANO_GATE_OUT"",""ESTADIA"",""SEQUENCIA"",""TARA"",""GRUPOANTAQ"",""PORTO"",""DIF_ATRACACAO_HOURS"",""DIF_ATRACACAO_DIAS"",""DECS_PCK"",""TONELADA"",""PESO_LIQUIDO_CONTAINER"",""LATITUDE_ORIGEM"",""LONGITUDE_ORIGEM"",""SEC_iD"""
"1,""Aachen"",""Aachen, ALEMANHA"",""50.77823"",""6.08864"",""Embarque"",""Longo Curso"",""ALEMANHA"",""KOSTANTINOS"",""ROCHAMAR AGENCIA MARITIMA S/A"",""11256147000910"",1107,718,""102"",2023-08-06 09:30:00,""8"",""2023"",2023-08-18 16:00:00,""8"",""2023"",""INTERMARITIMA PORTOS E LOGISTICA S.A"",""Sementes e frutos oleaginosos. grãos, sementes e f"",12010010,""SOJA PARA SEMEADURA"",""SOJA PARA SEMEADURA"",""00000"",""CARGILL AGRICOLA S/A"",""60498706025907"",""BA"",""Barreiras"",""GRANEL SÓLIDO"",""GS"",""0"",""3033865"",0,27995519,""0.0"",""18/08/2023 01:00"",""8.0"",""2023.0"",""00000"",""00000"",""00000"",""0.0"",99,0,""Sementes e frutos oleaginosos. grãos, sementes e f"",""ILHEUS"",294.5,12.27,""NAO CLASSIFICADO"",27995.519,27995519,0,0,1"
"12,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM RHONE"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25311,25327,""611"",2023-01-23 20:58:00,""1"",""2023"",2023-01-24 11:30:00,""1"",""2023"",""TECON SALVADOR S/A"",""Obras de ferro fundido, ferro ou aço."",7304,""Tubos e perfis ocos, sem costura, de ferro ou aço."",""Tubos e perfis ocos, sem costura, de ferro ou aço."",""102305013178940"",""VESTAS DO BRASIL ENERGIA EOLICA LTDD"",""4919351003258"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""22G1"",""20"",""SUDU1498509   "",1,5450,""0.0"",""23/01/2023 22:36"",""1.0"",""2023.0"",""24/01/2023 09:22:00"",""1.0"",""2023.0"",""0.0"",12780,2250,""Obras de ferro fundido, ferro ou aço."",""SALVADOR"",14.53,0.61,""Contêiner para uso geral SEM vetilação"",5.45,3200,0,0,12"
"13,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Reatores nucleares, caldeiras, máquinas, aparelhos"",8425,""Talhas, cadernais e moitões. guinchos e cabrestantes. macacos."",""Talhas, cadernais e moitões. guinchos e cabrestantes. macaco"",""102205327516009"",""DHL GLOBAL FORWARDING (BRAZIL)LOGISTICS LTDA"",""10228777000838"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""22G1"",""20"",""SUDU7531040   "",1,5800,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3864,2250,""Reatores nucleares, caldeiras, máquinas, aparelhos"",""SALVADOR"",13.83,0.58,""Contêiner para uso geral SEM vetilação"",5.8,3550,0,0,13"
"14,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""MAERSK LAMANAI"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25321,25342,""610"",2023-01-30 20:23:00,""1"",""2023"",2023-01-31 08:40:00,""1"",""2023"",""TECON SALVADOR S/A"",""Tecidos impregnados, revestidos, recobertos ou est"",5911,""Produtos e artigos, de matérias têxteis, para usos técnicos, indicados na Nota 8 do presente Capítulo."",""Produtos e artigos, de matérias têxteis, para usos técnicos,"",""102305018015675"",""OIA GLOBAL LOGISTICA LTDA"",""14010349000208"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""22G1"",""20"",""MRKU6659010   "",1,550,""0.0"",""30/01/2023 22:12"",""1.0"",""2023.0"",""31/01/2023 07:40:00"",""1.0"",""2023.0"",""0.0"",14401,2250,""Tecidos impregnados, revestidos, recobertos ou est"",""SALVADOR"",12.28,0.51,""Contêiner para uso geral SEM vetilação"",0.55,-1700,0,0,14"
"15,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Tecidos impregnados, revestidos, recobertos ou est"",5911,""Produtos e artigos, de matérias têxteis, para usos técnicos, indicados na Nota 8 do presente Capítulo."",""Produtos e artigos, de matérias têxteis, para usos técnicos,"",""102205327512003"",""OIA GLOBAL LOGISTICA LTDA"",""14010349000208"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""22G1"",""20"",""MSKU5793134   "",1,795,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3749,2250,""Tecidos impregnados, revestidos, recobertos ou est"",""SALVADOR"",13.83,0.58,""Contêiner para uso geral SEM vetilação"",0.795,-1455,0,0,15"
"16,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Instrumentos e aparelhos de óptica, de fotografia,"",9014,""Bússolas, incluindo as agulhas de marear. outros instrumentos e aparelhos de navegação."",""Bússolas, incluindo as agulhas de marear. outros instrumento"",""102205327515452"",""TRIAINA AGENCIA MARITIMA LTDA"",""1255046000629"",""BA"",""Salvador"",""CONTEINERES"",""42G1"",""40"",""MRSU5876775   "",2,9250,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3687,3590,""Instrumentos e aparelhos de óptica, de fotografia,"",""SALVADOR"",13.83,0.58,""Contêiner para uso geral SEM vetilação"",9.25,5660,0,0,16"
"17,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Instrumentos e aparelhos de óptica, de fotografia,"",9014,""Bússolas, incluindo as agulhas de marear. outros instrumentos e aparelhos de navegação."",""Bússolas, incluindo as agulhas de marear. outros instrumento"",""102205327515371"",""TRIAINA AGENCIA MARITIMA LTDA"",""1255046000629"",""BA"",""Salvador"",""CONTEINERES"",""22G1"",""20"",""MRKU7082004   "",1,5250,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3604,2300,""Instrumentos e aparelhos de óptica, de fotografia,"",""SALVADOR"",13.83,0.58,""Contêiner para uso geral SEM vetilação"",5.25,2950,0,0,17"
"18,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Reatores nucleares, caldeiras, máquinas, aparelhos"",8426,""Cábreas. guindastes, incluindo os de cabo. pontes rolantes, pórticos de descarga ou de movimentação, pontes-guindastes, carros-pórticos e carros-guindastes."",""Cábreas. guindastes, incluindo os de cabo. pontes rolantes, "",""102205329446024"",""KUEHNE NAGEL SERVICOS LOGISTICOS LTDA"",""2886427000164"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""42U1"",""40"",""HPGU3852295   "",2,20580,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3427,3880,""Reatores nucleares, caldeiras, máquinas, aparelhos"",""SALVADOR"",13.83,0.58,""Contêiner de teto aberto"",20.58,16700,0,0,18"
"19,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""BARTOLOMEU DIAS"",""ALIANCA NAVEGACAO E LOGISTICA LTDA"",""02427026001622"",25322,25335,""610"",2023-01-26 10:00:00,""1"",""2023"",2023-01-26 18:06:00,""1"",""2023"",""TECON SALVADOR S/A"",""Obras de ferro fundido, ferro ou aço."",7308,""Construções e suas partes (por exemplo, pontes e elementos de pontes, comportas, torres, pórticos, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, portas de correr, balaustradas), de ferro fun"",""Construções e suas partes (por exemplo, pontes e elementos d"",""102305011355160"",""MARTIN BENCHER DO BRASIL LOGISTICALTDA"",""13323618000134"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""42G1"",""40"",""MRSU3829666   "",2,18956,""0.0"",""26/01/2023 10:43"",""1.0"",""2023.0"",""26/01/2023 17:35:00"",""1.0"",""2023.0"",""0.0"",14962,3590,""Obras de ferro fundido, ferro ou aço."",""SALVADOR"",8.1,0.34,""Contêiner para uso geral SEM vetilação"",18.956,15366,0,0,19"
"20,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Instrumentos e aparelhos de óptica, de fotografia,"",9014,""Bússolas, incluindo as agulhas de marear. outros instrumentos e aparelhos de navegação."",""Bússolas, incluindo as agulhas de marear. outros instrumento"",""102205327514995"",""TRIAINA AGENCIA MARITIMA LTDA"",""1255046000629"",""BA"",""Salvador"",""CONTEINERES"",""42G1"",""40"",""CAAU6092385   "",2,4150,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3296,3590,""Instrumentos e aparelhos de óptica, de fotografia,"",""SALVADOR"",13.83,0.58,""Contêiner para uso geral SEM vetilação"",4.15,560,0,0,20"
"21,""Aarhus"",""Aarhus, DINAMARCA"",""56.15302"",""10.20486"",""Desembarque"",""Longo Curso"",""DINAMARCA"",""CMA CGM COLUMBIA"",""LACHMANN AGENCIA MARITIMA LTDA"",""43145945004606"",25264,25280,""610"",2023-01-04 14:10:00,""1"",""2023"",2023-01-05 04:00:00,""1"",""2023"",""TECON SALVADOR S/A"",""Reatores nucleares, caldeiras, máquinas, aparelhos"",8426,""Cábreas. guindastes, incluindo os de cabo. pontes rolantes, pórticos de descarga ou de movimentação, pontes-guindastes, carros-pórticos e carros-guindastes."",""Cábreas. guindastes, incluindo os de cabo. pontes rolantes, "",""102205329446024"",""KUEHNE NAGEL SERVICOS LOGISTICOS LTDA"",""2886427000164"",""ESTADO NÃO INFORMADO"",""MUNICIPIO NÃO INFORMADO"",""CONTEINERES"",""42P3"",""40"",""TLLU1272170   "",2,25750,""0.0"",""04/01/2023 15:18"",""1.0"",""2023.0"",""05/01/2023 02:48:00"",""1.0"",""2023.0"",""0.0"",3998,5805,""Reatores nucleares, caldeiras, máquinas, aparelhos"",""SALVADOR"",13.83,0.58,""Contêiner plataforma"",25.75,19945,0,0,21"
